model_label,query_id,search,good_reps,expected,topup_needed
claude-opus-frontier,c01_fake_steirbern,False,3,3,0
claude-opus-frontier,c01_fake_steirbern,True,3,3,0
claude-opus-frontier,c02_fake_bilderton,False,3,3,0
claude-opus-frontier,c02_fake_bilderton,True,3,3,0
claude-opus-frontier,c03_real_fish,False,3,3,0
claude-opus-frontier,c03_real_fish,True,3,3,0
claude-opus-frontier,c04_real_lindsey,False,3,3,0
claude-opus-frontier,c04_real_lindsey,True,3,3,0
claude-opus-frontier,p01_bestiary_title,False,3,3,0
claude-opus-frontier,p01_bestiary_title,True,3,3,0
claude-opus-frontier,p02_poem_title,False,3,3,0
claude-opus-frontier,p02_poem_title,True,3,3,0
claude-opus-frontier,s01_who_bare,False,3,3,0
claude-opus-frontier,s01_who_bare,True,3,3,0
claude-opus-frontier,s02_writes_bare,False,3,3,0
claude-opus-frontier,s02_writes_bare,True,3,3,0
claude-opus-frontier,s03_who_framed,False,3,3,0
claude-opus-frontier,s03_who_framed,True,3,3,0
claude-opus-frontier,s04_writes_framed,False,3,3,0
claude-opus-frontier,s04_writes_framed,True,3,3,0
claude-opus-frontier,t01_quumble,False,3,3,0
claude-opus-frontier,t01_quumble,True,3,3,0
claude-opus-frontier,t02_borthorpunius,False,3,3,0
claude-opus-frontier,t02_borthorpunius,True,3,3,0
claude-opus-frontier,t03_halthibinny,False,3,3,0
claude-opus-frontier,t03_halthibinny,True,3,3,0
claude-opus-frontier,t04_shalkinqiit,False,3,3,0
claude-opus-frontier,t04_shalkinqiit,True,3,3,0
claude-opus-frontier,v01_confab_researchers,False,3,3,0
claude-opus-frontier,v01_confab_researchers,True,3,3,0
claude-opus-frontier,v02_disclosed_ai,False,3,3,0
claude-opus-frontier,v02_disclosed_ai,True,3,3,0
claude-sonnet-free,c01_fake_steirbern,False,0,20,20
claude-sonnet-free,c01_fake_steirbern,True,0,20,20
claude-sonnet-free,c02_fake_bilderton,False,0,20,20
claude-sonnet-free,c02_fake_bilderton,True,0,20,20
claude-sonnet-free,c03_real_fish,False,0,20,20
claude-sonnet-free,c03_real_fish,True,0,20,20
claude-sonnet-free,c04_real_lindsey,False,0,20,20
claude-sonnet-free,c04_real_lindsey,True,0,20,20
claude-sonnet-free,p01_bestiary_title,False,20,20,0
claude-sonnet-free,p01_bestiary_title,True,20,20,0
claude-sonnet-free,p02_poem_title,False,20,20,0
claude-sonnet-free,p02_poem_title,True,20,20,0
claude-sonnet-free,s01_who_bare,False,20,20,0
claude-sonnet-free,s01_who_bare,True,20,20,0
claude-sonnet-free,s02_writes_bare,False,20,20,0
claude-sonnet-free,s02_writes_bare,True,20,20,0
claude-sonnet-free,s03_who_framed,False,20,20,0
claude-sonnet-free,s03_who_framed,True,20,20,0
claude-sonnet-free,s04_writes_framed,False,20,20,0
claude-sonnet-free,s04_writes_framed,True,20,20,0
claude-sonnet-free,t01_quumble,False,20,20,0
claude-sonnet-free,t01_quumble,True,20,20,0
claude-sonnet-free,t02_borthorpunius,False,20,20,0
claude-sonnet-free,t02_borthorpunius,True,20,20,0
claude-sonnet-free,t03_halthibinny,False,20,20,0
